id,brid,brdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,montant,totaltva,lot
1092,1,2023-12-22,68,8697926020247,CLASS DEO FEMME ADDICT 150ML,6.0,1,3.23,4.199,3.844,5.0,19.0,15.0,23.062,3.682,
1093,1,2023-12-22,346,6192005224728,LELLA PARFUM OUD 90ML,17.0,1,17.85,23.205,21.242,27.61,19.0,15.0,361.106,57.656,
1094,1,2023-12-22,347,6192005224711,LELLA PARFUM ORIENTALE 90ML,24.0,1,17.85,23.205,21.242,27.61,19.0,15.0,509.796,81.396,
1095,1,2023-12-22,357,6192005212763,BILLE LELLA TAJ MOON 50ML,8.0,1,2.21,2.902,2.63,3.45,19.0,15.0,21.039,3.359,
1096,1,2023-12-22,358,6192005212756,BILLE LELLA SENSUALITY 50ML,8.0,1,2.21,2.902,2.63,3.45,19.0,15.0,21.039,3.359,
1097,1,2023-12-22,356,6192005211247,BILLE LELLA MISS 50ML,8.0,1,2.21,2.902,2.63,3.45,19.0,15.0,21.039,3.359,
1098,1,2023-12-22,350,6192005226043,LELLA COFFRET IRRÉSISTIBLE,14.0,1,24.99,32.487,29.738,38.66,19.0,15.0,416.333,66.473,
1099,1,2023-12-22,351,6192005226036,LELLA COFFRET BELLE,5.0,1,24.99,32.487,29.738,38.66,19.0,15.0,148.69,23.74,
1100,1,2023-12-22,349,6192005226050,LELLA COFFRET SENSUELLE,14.0,1,24.99,32.487,29.738,38.66,19.0,15.0,416.333,66.473,
1101,1,2023-12-22,355,6192005223677,LELLA DEO IRRÉRISTIBLE 150ML,10.0,1,3.273,4.193,3.894,4.99,19.0,15.0,38.949,6.219,
1102,1,2023-12-22,354,6192005223653,LELLA DEO SENSUELLE 150ML,7.0,1,3.273,4.193,3.894,4.99,19.0,15.0,27.264,4.353,
1103,1,2023-12-22,269,3574669907927,JOHNSON SHP GOLD 750ML,7.0,1,12.169,15.795,14.481,18.8,19.0,14.0,101.368,16.185,
1104,1,2023-12-22,307,3600550454048,MIXA BÉBÉ SHP CLASSIQUE 250ML,2.0,1,8.645,11.26,10.288,13.4,19.0,9.0,20.575,3.285,
1105,1,2023-12-22,54,6192440001922,JET 7 SHP KÉRATINE 55ML,12.0,1,0.784,1.051,0.933,1.25,19.0,5.0,11.196,1.788,
1106,1,2023-12-22,366,5283022020828,ELEGANCE  SERUM 60ML,4.0,1,6.39,8.32,7.604,9.9,19.0,10.0,30.416,4.856,
1107,1,2023-12-22,365,5285001952328,ELEGANCE  SERUM 120ML,4.0,1,12.69,16.513,15.101,19.65,19.0,10.0,60.404,9.644,
1108,1,2023-12-22,367,8697926017520,REDIST SERUM ARGAN OIL KERATIN 5ML,4.0,1,11.345,14.749,13.5,17.55,19.0,10.0,54.002,8.622,
1109,1,2023-12-22,364,5285001952168,ELEGANCE SERUM 300ML,6.0,1,22.5,29.241,26.775,34.8,19.0,10.0,160.65,25.65,
1110,1,2023-12-22,878,6291069210101,Dabur Vasline Herbolene 115 ml,11.0,1,2.45,3.192,2.916,3.8,19.0,0.0,32.071,5.121,
