ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
12496,956,Liquide Vaiselle Lilas Citron 580L,1.0,2.743,3.8,2024-07-23 14:56:17,1,,3.8,asma
12496,2100,Lilas Javel Classic 3L+1L GRATUIT,1.0,3.601,3.9,2024-07-23 14:56:17,1,,3.9,asma
12497,832,R.B Shampoo Anti-chute,1.0,10.282,11.5,2024-07-23 15:39:16,1,,11.5,asma
12497,789,R.B Masque Anti-chute 500 ml,1.0,9.468,12.3,2024-07-23 15:39:16,1,,12.3,asma
12498,2295,NIVEA  DEO HOMME DEEP DARK WOOD 200ML,1.0,9.609,10.6,2024-07-23 16:03:12,1,,10.6,asma
12499,356,BILLE LELLA MISS 50ML,1.0,2.63,3.6,2024-07-23 16:08:59,1,,3.6,asma
12499,1509,Signal Kids Pokémon,1.0,4.472,5.59,2024-07-23 16:08:59,1,,5.59,asma
12500,1662,DET VAISSELLE 600ML limon,1.0,2.618,3.1,2024-07-23 16:53:34,1,,3.1,asma
12500,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-23 16:53:34,1,,3.0,asma
12501,1792,Poudre machine savon de marseille lilas 4 kg,1.0,17.149,18.5,2024-07-23 17:31:45,1,,18.5,asma
12501,2301,Lilas Liquide Vaisselle Pomme 1L,1.0,4.792,5.3,2024-07-23 17:31:45,1,,5.3,asma
12501,1506,Signal Dents 10X Flus Forte 75 ml,1.0,2.7,3.8,2024-07-23 17:31:45,1,,3.8,asma
12501,1006,Lilas Clip Nuit 8,2.0,2.762,3.2,2024-07-23 17:31:45,1,,3.2,asma
12501,9,U.D SHP CAMOMILLE / MIEL DE FLEUR 400ML,1.0,12.941,13.9,2024-07-23 17:31:45,1,,13.9,asma
12501,973,Assoup Lilas Lavande 1L,1.0,5.049,5.6,2024-07-23 17:31:45,1,,5.6,asma
12501,1706,Savon Liquide Zynia Jasmin Neroli 370ml,1.0,2.921,3.5,2024-07-23 17:31:45,1,,3.5,asma
12501,1705,Savon Liquide Zynia Miel Melon 370ml,1.0,2.921,3.5,2024-07-23 17:31:45,1,,3.5,asma
12501,930,Poudre Main Lilas Fraicheur 300GR,1.0,1.741,2.0,2024-07-23 17:31:45,1,,2.0,asma
12501,1458,Essuie Tout Maxi Citron Cotex,1.0,4.46,5.5,2024-07-23 17:31:45,1,,5.5,asma
12501,2210,Javel Lilas Citron 3 L,1.0,4.313,5.1,2024-07-23 17:31:45,1,,5.1,asma
12501,1251,Judy Fleurs 2L azur + 0.5 L gratuit,1.0,3.5,4.3,2024-07-23 17:31:45,1,,4.3,asma
12502,1033,Lilas Jumbo 5-10 Confort Max T3,1.0,28.616,31.5,2024-07-23 18:02:49,1,,31.5,asma
12503,1006,Lilas Clip Nuit 8,2.0,2.762,3.2,2024-07-23 18:07:51,1,,3.2,asma
12504,969,Javel Lilas Classic 4.75L,1.0,5.25,5.9,2024-07-23 18:29:05,1,,5.9,taher
12504,2402,Gel Machine Lilas 2.5 L rouge,1.0,14.499,17.5,2024-07-23 18:29:05,1,,17.5,taher
12504,77,CLASS SHP PROVITAMIN B5 1000ML,1.0,9.446,9.99,2024-07-23 18:29:05,1,,9.99,taher
12504,74,CLASS SHP KERATIN  1000ML,1.0,9.446,9.99,2024-07-23 18:29:05,1,,9.99,taher
12504,1896,Déodorant Réxona Femme Tropical 200 ml,1.0,9.5,10.5,2024-07-23 18:29:05,1,,10.5,taher
12504,770,Elegance Hot Oil Cream Aleo Vera 1KG,1.0,9.007,9.99,2024-07-23 18:29:05,1,,9.99,taher
12504,1422,BIO Styling Serum Cristaux Liquide 100 ML,1.0,17.617,19.7,2024-07-23 18:29:05,1,,19.7,taher
12505,2345,Serpillere Supper GM,1.0,1.021,1.5,2024-07-23 18:35:30,1,,1.5,taher
12506,1101,Black XS l'excess 50 ml,1.0,15.384,20.0,2024-07-23 18:36:25,1,,20.0,taher
12507,468,GILETTE BLEU II,1.0,0.929,1.2,2024-07-23 18:46:19,1,,1.2,taher
12508,102,NIVEA CRÈME 150ML,1.0,7.586,9.9,2024-07-23 18:48:01,1,,9.9,taher
12509,1665,Papier Toilette Lotus 2,1.0,1.401,1.6,2024-07-23 19:00:53,1,,1.6,taher
12510,1303,Mood Tienture 10.00,1.0,7.045,9.8,2024-07-23 19:17:14,1,,9.8,taher
12510,1341,Mood Oxydant 30 vol 100 ml,1.0,2.611,3.4,2024-07-23 19:17:14,1,,3.4,taher
12511,954,Assoup Lilas Florale 1L,1.0,5.049,5.6,2024-07-23 19:54:27,1,,5.6,taher
12512,1715,Bloom Kit coloration n°603,2.0,12.218,15.8,2024-07-23 20:15:04,1,,15.8,taher
12513,1176,comme evidence yves rocher 50 ml,1.0,15.384,20.0,2024-07-23 20:16:46,1,,20.0,taher
12514,467,GILLETTE BLEU III,1.0,2.053,2.7,2024-07-23 20:22:57,1,,2.7,taher
12515,1094,invictus paco rabanne 30 ml,1.0,10.77,14.0,2024-07-23 20:23:49,1,,14.0,taher
12516,1451,Couche Peaudouce Confort T6,2.0,14.499,15.9,2024-07-23 20:25:41,1,,15.9,taher
12517,2352,Cotex Essuie- tout 2,1.0,1.818,2.5,2024-07-23 20:26:42,1,,2.5,taher
12518,1488,Sunsilk SHP force briallance 350 ml,1.0,4.637,4.9,2024-07-23 20:33:00,1,,4.9,taher
12518,1251,Judy Fleurs 2L azur + 0.5 L gratuit,1.0,3.5,4.3,2024-07-23 20:33:00,1,,4.3,taher
12518,2100,Lilas Javel Classic 3L+1L GRATUIT,1.0,3.601,3.9,2024-07-23 20:33:00,1,,3.9,taher
12519,1000,Lilas Clip Nuit 8 Parfume,1.0,2.644,3.2,2024-07-24 09:18:27,1,,3.2,asma
12519,468,GILETTE BLEU II,2.0,0.929,1.2,2024-07-24 09:18:27,1,,1.2,asma
12520,1584,Papier Toilette Cotex x4,1.0,1.95,2.5,2024-07-24 09:20:43,1,,2.5,asma
12521,1584,Papier Toilette Cotex x4,2.0,1.95,2.5,2024-07-24 09:25:06,1,,2.5,asma
12521,1013,Esuito Lilas Maxi XL,1.0,4.896,5.9,2024-07-24 09:25:06,1,,5.9,asma
12521,651,eponge a recurer inox 2+1 gratuit,1.0,2.585,3.4,2024-07-24 09:25:06,1,,3.4,asma
12521,682,Tampon Expert -10-,1.0,2.069,2.7,2024-07-24 09:25:06,1,,2.7,asma
12521,930,Poudre Main Lilas Fraicheur 300GR,1.0,1.741,2.0,2024-07-24 09:25:06,1,,2.0,asma
12522,2162,Jet 7 Rollon Marinz 50 ml,1.0,2.279,4.1,2024-07-24 09:43:00,1,,4.1,asma
