id,benum,datebe,idsupplier,supplier,total,reference,auteur,numfacture,supplieraddress,suppliermatfiscal,userid,paymentstatus,paymentid,brofbe,beofbr,supfacture,factureid
189,0,2024-05-08,1,SDC,496.918,FAC-202405-2405141,taher,0,,,1,0,0,0,0,0,0
190,0,2024-05-08,4,lilas,980.31,04022204060,taher,0,,,1,0,0,0,0,0,0
191,0,2024-05-08,4,lilas,1009.21,0410412104,taher,0,,,1,0,0,0,0,0,0
192,0,2024-05-09,4,lilas,93.939,,taher,0,,,1,0,0,0,0,0,0
193,0,2024-05-09,3,Négoce distribution (Judy),568.487,FAC-9030685363,taher,0,,,1,0,0,0,0,0,0
194,0,2024-05-09,8,ESSOURI DISTRIBUTION,1432.44,fc-2428619,taher,0,,,1,0,0,0,0,0,0
195,0,2024-05-09,11,peaudeauce,685.697,,taher,0,,,1,0,0,0,0,0,0
196,0,2024-05-10,3,Négoce distribution (Judy),999.781,FAC-9030686246,taher,0,,,1,0,0,0,0,0,0
197,0,2024-05-10,1,SDC,1669.443,FAC-202405-2405144,taher,0,,,1,0,0,0,0,0,0
198,0,2024-05-10,1,SDC,885.166,FAC-202405-2405143,taher,0,,,1,0,0,0,0,0,0
199,0,2024-05-13,1,SDC,491.762,FAC-202405-2405146,taher,0,,,1,0,0,0,0,0,0
200,0,2024-05-14,1,SDC,373.784,BLI-202405-157,taher,0,,,1,0,0,0,0,0,0
201,0,2024-05-15,1,SDC,179.014,FAC-202405-2405147,taher,0,,,1,0,0,0,0,0,0
202,0,2024-05-16,1,SDC,525.778,FAC-202405-2405150,taher,0,,,1,0,0,0,0,0,0
203,0,2024-05-17,1,SDC,1176.513,FAC-202405-2405151,taher,0,,,1,0,0,0,0,0,0
204,0,2024-05-18,3,Négoce distribution (Judy),1122.037,FAC-9030693050,taher,0,,,1,0,0,0,0,0,0
205,0,2024-05-18,3,Négoce distribution (Judy),838.781,FAC-9030692298,taher,0,,,1,0,0,0,0,0,0
206,0,2024-05-18,1,SDC,866.951,BLI-202405-181,taher,0,,,1,0,0,0,0,0,0
207,0,2024-05-20,1,SDC,609.228,FAC-202405-2405154,taher,0,,,1,0,0,0,0,0,0
208,0,2024-05-21,1,SDC,282.458,BLI-202405-189,taher,0,,,1,0,0,0,0,0,0
209,0,2024-05-21,11,peaudeauce,617.196,PEAUDOUCE FAC N° 30,taher,0,,,1,0,0,0,0,0,0
210,0,2024-05-22,1,SDC,86.58,BLI-202405-195,taher,0,,,1,0,0,0,0,0,0
211,0,2024-05-23,1,SDC,549.732,BLI-202405-202,taher,0,,,1,0,0,0,0,0,0
212,0,2024-05-25,1,SDC,189.581,BLI-202405-210,taher,0,,,1,0,0,0,0,0,0
213,0,2024-05-25,8,ESSOURI DISTRIBUTION,2400.429,Bli 023646,taher,0,,,1,0,0,0,0,0,0
214,0,2024-05-25,1,SDC,0.027,Gratuité LPM,taher,0,,,1,0,0,0,0,0,0
215,0,2024-05-27,1,SDC,535.286,BLI 202405-221,taher,0,,,1,0,0,0,0,0,0
216,0,2024-05-27,1,SDC,873.722,FAC-202405-2405165,taher,0,,,1,0,0,0,0,0,0
217,0,2024-05-27,1,SDC,624.607,FAC-202405-2405164,taher,0,,,1,0,0,0,0,0,0
