Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
993,6192011811820,0,Lilas Couche Bébé 16+ Confort Max Actif T6,14.21,16.768,-1,-14774017,1,0,19.0,43,0,1,6.0,0,14.21,0.0,0.0,0.0,18.0,14.21,16.768,4993.0
994,6192011811806,37,Lilas Couche Bébé 9-18 Confort Max Actif T4,14.5,16.8,-1,-14774017,1,0,7.0,43,0,1,6.0,0,14.5,0.0,0.0,0.0,15.85,14.5,16.798,5994.0
995,6192011811790,37,Lilas Couche Bébé 5-10 Confort Max Actif T3,14.5,16.8,-1,-14774017,1,0,13.0,43,0,1,6.0,0,14.5,0.0,0.0,0.0,15.85,14.5,16.798,5995.0
996,6192011811783,0,Lilas Couche Bébé 5-3 Confort Max Actif T2,15.25,16.05,-1,-14774017,1,0,7.0,43,0,1,6.0,0,12.815,0.0,0.0,19.0,5.25,12.815,13.488,5996.0
997,6192011809575,0,Ling Confort Max 20 Pcs,1.739,2.3,-1,-14774017,1,0,0.0,0,0,1,2.0,0,1.461,0.0,0.0,19.0,32.2,1.461,1.931,0.0
998,6192011808578,0,Lilas Lingette Bebe 72 Avec LID,4.089,5.203,-1,-14774017,1,0,10.0,0,0,1,2.0,0,3.436,0.0,0.0,19.0,27.25,3.436,4.372,4998.0
999,6192011803740,37,Lilas Clip Ultra Nuit 7,3.007,3.8,-1,-14774017,1,0,14.0,43,0,1,12.0,0,2.605,3.0,0.0,19.0,26.4,2.527,3.194,5999.0
1000,6192011813350,0,Lilas Clip Nuit 8 Parfume,2.541,3.2,-1,-14774017,1,0,0.0,43,0,1,12.0,0,2.541,0.0,0.0,0.0,25.92,2.541,3.2,41000.0
1001,6192011813336,0,Lilas Clip Normal 10 Parfume,2.933,3.5,-1,-14774017,1,0,105.0,43,0,1,12.0,0,2.541,3.0,0.0,19.0,19.33,2.465,2.941,41001.0
1002,6192011813343,0,Lilas Clip Super 9 Parfume,2.933,3.8,-1,-14774017,1,0,69.0,43,0,1,12.0,0,2.541,3.0,0.0,19.0,29.56,2.465,3.194,41002.0
1003,6192011813329,37,Lilas Clip Nuit 8 Plus,2.542,3.2,-1,-14774017,1,0,53.0,43,0,1,12.0,0,2.136,0.0,0.0,19.0,25.9,2.136,2.689,41003.0
1004,6192011813367,37,Lilas Clip Nuit 8 Plus Parfume,2.541,3.20166,-1,-14774017,1,0,35.0,43,0,1,12.0,0,2.541,0.0,0.0,0.0,26.0,2.541,3.20166,41004.0
1005,6192011803818,37,Lilas clip super 9 (bleu),2.527,3.2,-1,-14774017,1,0,15.0,43,0,1,12.0,0,2.189,3.0,0.0,19.0,26.66,2.123,2.689,81005.0
1006,6192011804280,37,Lilas Clip Nuit 8,2.437,3.1985625,-1,-14774017,1,0,0.0,43,0,1,12.0,0,2.437,0.0,0.0,0.0,31.25,2.437,3.1985625,51006.0
1007,6192011813701,0,Lilas Protege Slip Confort Plus Extra Long Parfume,2.911,3.3,-1,-14774017,1,0,2.0,43,0,1,12.0,0,2.911,0.0,0.0,0.0,13.35,2.911,3.3,41007.0
