id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
1968,6192000584704,Savon Liquide Sensea Soft,2024-05-13,5.0,2.699,3.33,3.3,3.8,Admin,1435
1969,3600523883806,ELSÉVE CRÈME SANS RINÇAGE FULL RESIST,2024-05-13,4.0,14.262,17.1,14.262,19.97,Admin,204
1970,3600523883806,ELSÉVE CRÈME SANS RINÇAGE FULL RESIST,2024-05-13,4.0,14.262,19.97,14.262,20.5,Admin,204
1971,3600523586301,ELSÉVE CRÈME SANS RINÇAGE DREAM LONG,2024-05-13,4.0,14.262,17.1,14.262,20.5,Admin,205
1972,3600524053314,ELSÉVE CRÈME SANS RINÇAGE HAYALLURON,2024-05-13,5.0,15.678,18.0,15.678,22.5,Admin,206
1973,3600524053314,ELSÉVE CRÈME SANS RINÇAGE HAYALLURON,2024-05-13,5.0,15.678,22.5,15.678,20.5,Admin,206
1974,3600542164412,U.D CRÈME SANS RINÇAGE LAIT D'AMANDE 200ML,2024-05-13,6.0,16.44,19.7,16.44,19.5,Admin,24
1975,3600542402408,U.D CRÈME SANS RINÇAGE CHARBON 200ML,2024-05-13,6.0,16.44,19.7,16.44,19.5,Admin,25
1976,3600542375160,U.D CRÈME SANS RINÇAGE TRÉSOR 200ML,2024-05-13,6.0,16.44,19.7,16.44,19.5,Admin,26
1977,3600541696716,U.D CRÈME SANS RINÇAGE OLIVE 200ML,2024-05-13,6.0,16.44,19.7,16.44,19.5,Admin,23
1978,3600540539397,U.D CRÈME SANS RINÇAGE,2024-05-13,10.0,16.44,19.7,16.44,19.5,Admin,22
1979,3600542509725,U.D MASQUE OLIVE 340ML,2024-05-13,10.0,14.727,17.65,14.727,17.7,Admin,32
1980,3600523925933,Elsève Masque H.EXT cheveux secs 310ML,2024-05-13,2.0,18.207,21.85,18.207,21.9,Admin,1570
1981,3600523925773,ELSÉVE MASQUE DREAM LONG 310ML,2024-05-13,4.0,18.207,21.85,18.207,21.9,Admin,202
1982,3600523925735,ELSÉVE MASQUE COLOR VIVE 310ML,2024-05-13,6.0,18.207,21.85,18.207,21.9,Admin,201
1983,3574660002522,CLEAN AND CLEAR DEEP ACTION CREAM 150ML,2024-05-13,6.0,18.653,24.25,18.653,24.3,Admin,324
1984,3574660310405,Clean & Clear Natural Bright Cream 50mL,2024-05-13,6.0,19.851,24.85,19.851,25.0,Admin,1646
1985,4005808890590,NIVEA CRÈME SOFT 100ML,2024-05-13,9.0,8.497,11.05,8.497,10.9,Admin,107
1986,3600542556699,U.D OIL REP AVOCAT 200ML,2024-05-13,4.0,10.71,13.92,10.71,13.9,Admin,462
1987,6291069757354,Huile Cheveux Vatika Onion 200 ml,2024-05-13,5.0,6.664,8.65,6.664,8.7,Admin,875
1988,4005900417930,NIVEA LAIT DE CORPS NOURRISSANT 250 ML,2024-05-13,4.0,17.196,22.35,17.196,22.4,Admin,95
1989,4005900418197,NIVEA LAIT DE CORPS DOUCEUR 250 ML,2024-05-13,3.0,17.196,22.35,17.196,22.4,Admin,93
