id,beid,bedate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec,lot
2423,24,2023-11-16,519,6194016270015,SAC-CADEAU-MM 40-1627-BLANC,12.0,1,2.521,3.277,3.0,3.9,19.0,0.0,0.0,36.0,5.748,0.0,0.0,
2424,24,2023-11-16,520,6194016270107,SAC-CADEAU-MM 40-1627 NOIR,24.0,1,3.193,4.151,3.8,4.94,19.0,0.0,0.0,91.192,14.56,0.0,0.0,
3083,27,2023-11-21,354,6192005223653,LELLA DEO SENSUELLE 150ML,72.0,1,3.273,4.255,3.894,5.06,19.0,15.0,0.0,280.431,44.775,0.0,0.0,
3084,27,2023-11-21,355,6192005223677,LELLA DEO IRRÉRISTIBLE 150ML,72.0,1,3.273,4.255,3.894,5.06,19.0,15.0,0.0,280.431,44.775,0.0,0.0,
3085,27,2023-11-21,346,6192005224728,LELLA PARFUM OUD 90ML,36.0,1,17.85,23.205,21.242,27.61,19.0,15.0,0.0,764.694,122.094,0.0,0.0,
3086,27,2023-11-21,347,6192005224711,LELLA PARFUM ORIENTALE 90ML,36.0,1,17.85,23.205,21.242,27.61,19.0,15.0,0.0,764.694,122.094,0.0,0.0,
3087,27,2023-11-21,351,6192005226036,LELLA COFFRET BELLE,12.0,1,24.99,32.487,29.738,38.66,19.0,15.0,0.0,356.857,56.977,0.0,0.0,
3088,27,2023-11-21,350,6192005226043,LELLA COFFRET IRRÉSISTIBLE,18.0,1,24.99,32.487,29.738,38.66,19.0,15.0,0.0,535.286,85.466,0.0,0.0,
3089,27,2023-11-21,349,6192005226050,LELLA COFFRET SENSUELLE,18.0,1,24.99,32.487,29.738,38.66,19.0,15.0,0.0,535.286,85.466,0.0,0.0,
4021,31,2023-11-23,689,6190101010101,Flacon Plastique Pen 10 ml,1000.0,1,0.715,0.93,0.851,1.11,19.0,0.0,0.0,850.85,135.85,0.0,0.0,
4116,33,2023-11-24,700,3574661539102,LPM A/SHP Infusion detox 200ml,6.0,1,9.384,12.199,11.167,14.52,19.0,8.0,0.0,67.002,10.698,0.0,0.0,
4117,33,2023-11-24,701,3574661539126,LPM A/SHP NUTRITION INTENSE 200 ML,6.0,1,9.384,12.199,11.167,14.52,19.0,8.0,0.0,67.002,10.698,0.0,0.0,
4118,33,2023-11-24,702,3574661574714,LPM A/SHP  Nutrition 200 ml,6.0,1,9.384,12.199,11.167,14.52,19.0,8.0,0.0,67.002,10.698,0.0,0.0,
4119,33,2023-11-24,703,3574661574691,LPM A/SHP  infusion brillance 200 ml,6.0,1,9.384,12.199,11.167,14.52,19.0,8.0,0.0,67.002,10.698,0.0,0.0,
4120,33,2023-11-24,704,3574661700892,LPM créme de douche lait d'amande douce,6.0,1,4.995,6.494,5.944,7.73,19.0,10.0,0.0,35.664,5.694,0.0,0.0,
4121,33,2023-11-24,706,3574661578453,LPM GD MANDARINE CITRON,6.0,1,4.995,6.494,5.944,7.73,19.0,10.0,0.0,35.664,5.694,0.0,0.0,
